vancouver_hour,utc_hour,avg_records,avg_unique_vehicles,avg_unique_routes,min_records,max_records
0,7,31104.4,334.2,133.0,26942,32597
1,8,18436.0,221.4,100.2,14651,19523
2,9,8215.4,115.8,63.8,6022,9140
3,10,3943.4,50.2,20.2,3309,4355
4,11,7725.2,170.8,79.6,4455,8742
5,12,41349.6,604.8,169.0,15548,48216
6,13,88246.2,926.2,186.4,41811,100037
7,14,115963.8,1093.2,194.0,60355,130579
8,15,122831.4,1123.2,197.2,70134,136654
9,16,110482.4,1057.2,193.4,78909,119125
10,17,83206.6,896.4,187.0,27554,102757
11,18,76581.6,803.0,181.4,2752,96878
12,19,85886.6,841.0,184.4,51149,95245
13,20,87386.8,890.2,184.0,43994,98580
14,21,109966.0,1063.2,193.8,101447,112529
15,22,133438.4,1225.0,201.0,103160,141727
16,23,142650.2,1268.8,200.4,105241,152642
17,0,139645.4,1245.8,198.6,89420,152511
18,1,124117.4,1190.0,198.8,84771,134721
19,2,95524.4,965.0,195.6,76778,101003
20,3,75815.0,726.8,180.2,67058,78470
21,4,64054.6,614.8,170.0,57168,66273
22,5,52283.2,508.2,160.0,46746,53864
23,6,42649.2,415.2,147.2,39065,44288
